28	14580	1
78	5017	1
78	12455	1
123	1051	1
123	1092	1
123	7741	1
126	1012	1
126	1082	1
132	1128	1
166	8183	1
231	14191	1
292	292	1
303	3300	1
304	1612	1
304	2182	1
304	2232	1
334	1631	1
343	609	1
343	638	1
343	1036	1
343	1054	1
343	10544	1
343	10680	1
354	1255	1
388	609	1
388	2347	1
388	3300	1
388	3872	1
388	18233	1
388	18269	1
407	2344	1
478	7654	1
508	15591	1
592	9086	1
603	14580	1
613	1631	1
617	2162	1
617	11354	1
643	244	1
643	5394	1
657	1159	1
661	140	1
733	872	1
733	2790	1
733	4755	1
733	5518	1
733	15408	1
733	17504	1
733	18508	1
733	19833	1
754	13964	1
765	4668	1
831	2709	1
835	960	1
835	1405	1
835	2664	1
835	5363	1
835	5570	1
847	7701	1
847	7761	1
890	831	1
926	7761	1
960	835	1
960	1405	1
960	2664	1
960	5363	1
960	5570	1
988	988	1
1050	3630	1
1050	3679	1
1050	6556	1
1050	8456	1
1051	123	1
1051	7741	1
1092	7741	1
1105	2398	1
1125	244	1
1128	7761	1
1128	9177	1
1148	835	1
1148	960	1
1225	1226	1
1226	1225	1
1254	5613	1
1255	354	1
1255	5678	1
1255	5726	1
1255	5831	1
1285	3178	1
1295	6851	1
1305	3460	1
1305	5610	1
1309	10249	1
1347	1953	1
1377	3866	1
1377	5486	1
1377	6497	1
1377	6562	1
1377	17223	1
1435	3679	1
1452	8079	1
1472	6109	1
1584	3547	1
1612	304	1
1612	3379	1
1631	613	1
1631	2554	1
1672	4668	1
1720	8771	1
1720	8863	1
1771	2956	1
1771	16559	1
1793	5439	1
1793	7258	1
1793	7674	1
1793	19073	1
1807	4108	1
1837	4294	1
1855	18670	1
1877	5657	1
1993	7761	1
2013	3055	1
2013	4668	1
2013	10222	1
2013	12681	1
2048	3572	1
2048	6369	1
2056	4668	1
2056	4686	1
2056	8804	1
2070	2332	1
2070	6967	1
2076	6123	1
2076	7302	1
2076	7313	1
2076	7403	1
2078	12463	1
2093	2398	1
2123	3356	1
2153	3356	1
2245	478	1
2245	7761	1
2263	3367	1
2287	14580	1
2317	46	1
2344	831	1
2344	7088	1
2388	22533	1
2426	14599	1
2479	3557	1
2481	2481	1
2484	112	1
2484	5613	1
2541	2541	1
2545	5657	1
2554	1596	1
2554	1631	1
2562	3970	1
2576	10709	1
2596	4668	1
2596	11741	1
2606	2307	1
2664	835	1
2664	960	1
2664	1405	1
2664	5363	1
2664	5570	1
2702	4668	1
2709	5657	1
2790	4755	1
2790	7726	1
2803	1598	1
2818	22533	1
2827	3944	1
2827	16559	1
2868	115	1
2871	806	1
2880	5623	1
2952	12528	1
2956	6668	1
3022	2348	1
3022	3940	1
3055	3055	1
3056	10920	1
3186	817	1
3195	10505	1
3195	12087	1
3244	3186	1
3290	5925	1
3290	6285	1
3300	388	1
3300	5368	1
3314	7812	1
3362	14408	1
3362	16088	1
3369	3369	1
3377	4991	1
3377	14346	1
3398	4668	1
3398	7391	1
3398	8804	1
3406	412	1
3453	12833	1
3453	16923	1
3460	15749	1
3543	4668	1
3547	1584	1
3547	2300	1
3547	2413	1
3547	6825	1
3594	115	1
3594	5613	1
3630	1050	1
3630	3679	1
3630	5380	1
3630	6556	1
3630	7576	1
3630	8390	1
3630	8456	1
3657	3657	1
3657	6411	1
3679	1050	1
3679	3630	1
3679	6556	1
3680	3735	1
3698	5726	1
3703	7761	1
3703	10249	1
3703	19418	1
3703	19711	1
3732	7614	1
3732	10249	1
3732	15216	1
3734	123	1
3735	4649	1
3741	3741	1
3778	4668	1
3778	11055	1
3778	21409	1
3821	9695	1
3866	851	1
3866	1056	1
3866	2344	1
3872	388	1
3872	609	1
3872	638	1
3872	1036	1
3872	1054	1
3872	2150	1
3944	4668	1
3944	16559	1
3994	8961	1
4046	4046	1
4064	14580	1
4099	21484	1
4108	1807	1
4177	8449	1
4177	10353	1
